column,true_type
team_name,categorical
league,categorical
country,geographic
season,temporal
transfer_type,categorical
player_name,categorical
player_url,categorical
player_position,categorical
player_age,quantitative
player_nationality,geographic
club_2,categorical
league_2,categorical
country_2,geographic
transfer_fee,quantitative
is_loan,categorical
window,categorical
in_squad,quantitative
appearances,quantitative
goals,quantitative
minutes_played,quantitative
